POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA2446,14,39,44,34,83,73,26,42,0,354,8,34,21,12,44,32,9,25,41,227,279,1012,775,642,1340,1150,325,782,106,6398
POA2447,4,16,10,6,28,18,8,12,0,97,10,23,20,16,19,21,4,9,31,155,141,522,432,271,535,442,129,308,69,2855
POA2448,9,22,18,12,32,17,7,7,3,126,6,27,17,3,24,10,4,11,36,141,166,627,481,320,628,469,126,279,83,3188
POA2449,0,8,4,0,4,7,0,0,0,25,4,7,0,0,3,5,0,0,9,35,37,156,104,69,146,88,12,89,25,724
POA2450,23,117,92,79,191,162,54,93,12,827,39,129,73,49,167,132,26,73,168,853,952,3489,2800,1976,4277,3384,1081,2137,399,20509
POA2452,14,29,26,32,59,53,12,21,0,243,9,49,23,17,47,48,4,21,46,266,320,1125,863,637,1327,1144,307,578,110,6409
POA2453,0,7,0,0,6,5,5,5,0,32,8,14,7,0,0,4,0,9,13,48,35,197,155,100,150,147,42,230,34,1095
POA2454,3,23,10,7,21,20,0,11,0,107,10,26,14,9,16,27,3,9,19,135,160,699,541,373,549,510,145,306,56,3346
POA2455,0,10,8,4,6,8,3,5,0,48,5,0,0,0,6,12,0,5,13,47,75,180,174,130,209,190,64,120,21,1164
POA2456,8,50,43,27,89,60,8,19,0,300,10,42,27,21,51,34,4,25,55,277,335,1189,1096,724,1605,1313,348,757,138,7499
POA2460,18,60,52,44,114,96,26,66,6,473,24,64,48,21,78,66,16,43,115,477,555,1734,1465,1069,2578,1895,569,1363,268,11496
POA2462,5,3,9,5,6,5,0,7,0,41,0,8,5,0,5,7,0,6,13,44,51,154,135,97,182,151,32,147,24,973
POA2463,6,30,14,8,24,18,0,13,0,106,11,16,12,6,9,22,0,14,31,131,162,526,440,291,548,556,133,364,54,3076
POA2464,3,12,21,6,20,23,13,11,4,107,8,14,3,3,22,9,5,13,27,100,143,474,370,255,449,424,118,278,52,2565
POA2465,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,3,3,39,11,16,28,22,0,14,7,153
POA2466,0,8,6,0,0,4,0,0,0,10,7,3,0,0,9,5,0,4,4,23,22,96,67,36,68,73,19,56,8,453
POA2469,0,4,9,5,8,3,0,3,0,32,5,15,8,0,10,5,4,10,7,69,61,251,195,157,186,203,60,257,30,1392
POA2470,12,24,19,26,80,36,8,26,4,241,14,18,15,23,73,56,9,34,54,295,301,735,773,696,1380,1005,277,719,149,6033
POA2471,5,3,0,0,12,6,3,6,0,39,6,4,8,5,10,12,7,4,5,62,58,165,133,138,229,201,65,154,25,1167
POA2472,0,4,0,3,10,9,0,3,0,41,0,10,10,4,3,3,5,8,4,47,53,139,116,81,156,140,36,118,27,864
POA2473,4,0,3,0,3,10,0,0,0,28,0,8,6,6,0,7,6,6,6,40,65,198,143,140,235,195,48,129,25,1180
POA2474,5,11,17,7,15,17,3,12,0,84,14,10,14,5,16,10,3,14,34,118,106,372,349,254,440,370,107,352,68,2419
POA2475,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,26,12,19,12,32,10,26,3,129
POA2476,0,0,0,0,0,4,0,3,0,7,0,8,0,0,5,0,0,3,5,18,17,58,28,30,28,48,6,95,10,311
POA2477,16,36,27,26,49,60,9,26,0,248,8,33,23,12,34,29,4,20,38,204,303,999,808,611,1208,993,256,651,95,5923
POA2478,26,102,77,49,105,94,25,50,8,530,21,82,58,35,78,96,21,32,102,513,767,2497,2063,1437,2643,2451,658,1446,258,14217
POA2479,0,18,17,10,7,17,3,5,0,72,8,29,29,21,13,22,5,9,20,163,121,585,416,300,345,482,102,326,44,2719
POA2480,33,128,108,71,195,179,35,86,9,848,49,124,84,81,149,147,26,57,141,859,973,3283,3014,2150,4318,3595,986,2031,375,20726
POA2481,15,58,45,22,24,32,0,13,0,216,14,79,65,26,72,67,11,40,84,455,403,1702,1087,664,876,1061,213,561,179,6741
POA2482,9,25,12,10,11,21,0,14,0,96,10,51,28,14,20,28,3,14,34,192,154,743,511,327,380,389,104,226,61,2897
POA2483,15,44,24,16,29,29,3,15,0,181,14,61,42,32,54,50,4,24,53,325,305,1102,830,611,834,807,195,459,118,5259
