POA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA2161,13,27,68,82,74,60,24,0,0,346,31,85,241,162,135,92,25,0,0,773,430,1131,2811,2009,1560,1223,317,20,0,9497
POA2162,5,19,35,55,57,35,13,0,0,214,15,53,85,106,94,61,17,3,0,447,258,699,1391,1195,1273,1002,213,7,0,6033
POA2163,4,4,30,28,18,12,3,0,0,92,8,29,53,62,54,39,10,0,0,258,100,318,697,498,475,369,91,9,0,2551
POA2164,3,31,53,60,52,41,14,3,0,256,19,37,96,89,82,64,18,5,0,413,319,707,1498,1278,1292,1071,254,20,5,6443
POA2165,16,43,91,102,120,61,16,4,0,444,31,104,208,199,197,168,28,4,0,938,489,1357,2734,2307,2361,1804,373,28,8,11460
POA2166,15,64,162,170,166,93,12,0,0,678,48,160,354,320,397,287,44,5,0,1615,568,2078,4093,3285,3626,2788,488,30,0,16957
POA2167,6,9,16,23,17,15,5,0,0,80,4,18,64,76,54,24,5,0,0,251,143,382,1104,1344,892,649,133,5,0,4659
POA2168,15,40,108,104,112,80,12,0,0,474,32,125,190,227,218,195,28,3,0,1022,724,1775,2975,2661,2803,2409,423,19,0,13789
POA2170,55,122,350,332,280,199,51,6,0,1388,98,238,603,594,516,348,62,9,3,2475,1869,4297,10001,9726,8421,5773,1332,104,11,41534
POA2171,23,54,119,132,140,90,19,0,0,574,47,67,181,202,191,119,28,0,0,827,1055,1753,3262,4141,3806,2310,425,26,0,16775
POA2172,5,6,10,7,15,17,5,0,0,62,0,4,11,18,9,9,4,0,0,65,82,148,257,336,407,292,65,5,4,1596
POA2173,5,24,36,42,56,35,3,0,0,205,16,22,69,72,69,43,4,0,0,298,431,822,1726,1793,1696,1029,166,16,0,7690
