POA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA2287,540,407,391,336,310,278,174,113,86,2630,7766,5695,5982,5554,4909,4229,3567,2115,1027,40845
POA2289,220,158,152,143,150,143,92,50,38,1143,4010,2589,2609,2898,2680,2181,1583,1188,521,20257
POA2290,475,264,301,308,271,236,182,140,89,2272,6608,3854,4564,4520,4374,4142,3403,2282,1161,34912
POA2291,143,132,129,113,135,109,60,39,20,896,2421,1966,1888,1769,1990,1849,1372,692,325,14279
POA2292,28,34,56,28,27,14,12,3,6,212,401,395,498,378,331,298,199,94,42,2622
POA2293,21,27,47,34,23,22,14,5,0,186,397,451,763,448,370,427,294,115,34,3302
POA2294,22,26,23,32,21,18,18,3,3,169,310,227,432,295,243,264,184,75,30,2061
POA2295,112,84,66,68,63,100,106,51,20,671,1418,733,835,1006,895,1037,1258,678,233,8091
POA2296,17,25,21,25,17,8,7,0,0,124,264,280,450,316,294,218,135,52,15,2026
POA2297,16,18,13,22,23,15,10,3,0,119,299,239,333,273,250,225,117,56,21,1801
POA2298,83,143,120,83,74,64,76,93,173,911,1376,1511,1892,1230,1132,1031,782,625,569,10141
POA2299,178,178,195,120,131,93,63,73,75,1109,2018,2000,2030,1503,1356,1244,872,569,310,11905
POA2300,74,149,185,132,126,133,102,47,10,964,1148,1740,2527,1496,1539,1574,1274,589,149,12058
POA2302,5,9,26,8,10,8,0,11,5,88,80,158,362,144,113,179,167,135,73,1411
POA2303,124,147,133,120,159,112,74,33,30,933,1382,1331,1310,1192,1313,1288,1065,552,281,9710
POA2304,199,167,224,153,137,121,94,74,101,1262,2476,1773,3030,2214,1781,1799,1415,782,541,15807
POA2305,165,111,79,106,105,117,87,45,26,834,2505,1624,1367,1744,1887,1674,1316,683,316,13108
POA2306,174,66,83,65,63,45,41,18,5,577,758,399,457,380,422,426,353,186,42,3421
POA2307,65,61,77,59,25,36,22,34,10,381,709,729,942,499,362,396,438,352,120,4537
POA2308,0,402,10,3,0,0,0,0,0,419,0,1321,28,4,0,0,0,0,0,1358
POA2311,19,10,5,9,5,11,10,0,0,62,178,72,83,111,97,168,123,60,22,913
POA2312,22,16,0,12,19,11,14,9,0,103,255,148,119,154,200,272,221,107,21,1500
POA2315,134,130,90,101,117,157,184,161,153,1246,2021,1367,1125,1369,1808,2418,2764,1769,653,15287
POA2316,89,51,40,40,77,92,87,71,11,559,965,648,471,563,841,1064,1181,713,124,6577
